Seed,Combined_Diff,Diff_CER_Mean,Diff_CER_Std,Diff_Q_Length_Mean,Diff_Q_Length_Std,Diff_Percent_Highlighted,Diff_ECE,X_CER_Mean,X_CER_Std,X_Q_Length_Mean,X_Q_Length_Std,X_Percent_Highlighted,X_ECE,Y_CER_Mean,Y_CER_Std,Y_Q_Length_Mean,Y_Q_Length_Std,Y_Percent_Highlighted,Y_ECE,Diff_CER_Mean_norm,Diff_CER_Std_norm,Diff_Q_Length_Mean_norm,Diff_Q_Length_Std_norm,Diff_Percent_Highlighted_norm,Diff_ECE_norm
0,2.172279303940694,0.0637442575598305,0.06487321118722834,0.8181818181818201,0.6944056809270438,6.871115008640478,0.05091606660575049,0.09014553688466549,0.13422263296237977,43.0,3.3166247903554,16.05839416058394,0.08571363962960968,0.026401279324834995,0.06934942177515142,42.18181818181818,2.622219109428356,9.187279151943462,0.03479757302385919,0.5947780884251872,0.15839423987835738,0.2434782608695655,0.37860592495308726,0.34932638030302665,0.44769640951147
1,2.425337731366563,-0.047413144683973354,-0.10135168453591081,1.009090909090908,0.10871407485521623,-7.961511600838055,-0.06322647167373645,0.0319202309474349,0.04171964782732982,43.1,3.014962686336267,8.365019011406844,0.021514536481601034,0.07933337563140826,0.14307133236324063,42.09090909090909,2.906248611481051,16.3265306122449,0.08474100815533749,0.43985216629744717,0.6509618120857777,0.3043478260869557,0.05658312982686828,0.40655521986537907,0.5670375772041354
2,0.9390521248679763,-0.008415362442081624,-0.054953027941078134,-1.4727272727272762,0.4242376149231166,1.7035039019535958,-0.013437605773092894,0.052347640693187716,0.07770784602628121,41.8,3.1240998703626617,13.524590163934427,0.04952646257021492,0.06076300313526934,0.13266087396735934,43.27272727272727,2.699862255439545,11.821086261980831,0.06296406834330781,0.06989774734945017,0.024442346368388955,0.45217391304347876,0.23006311698639775,0.07810727611526552,0.08436772500499509
3,3.380682892971581,0.07748481673611836,0.10609403542383386,-1.8545454545454518,0.1640535963445866,10.909442724458206,0.07883566000577008,0.09734297264367342,0.14392715274571063,41.6,2.9393876913398134,17.894736842105264,0.09877351153980604,0.01985815590755506,0.037833117321876775,43.45454545454545,2.7753340949952268,6.985294117647059,0.019937851534035954,0.7251285928347312,0.7149976131756918,0.5739130434782592,0.08700970109101074,0.5612756936101777,0.7183582487817106
4,1.2151036926228558,0.019866946170275866,0.06617964327172715,1.7727272727272734,0.2085087643645327,-0.31208893244950886,0.02497110925548432,0.06716218329966069,0.13916776105634945,43.5,2.9748949561287032,12.408759124087592,0.06937740889914111,0.04729523712938482,0.0729881177846223,41.72727272727273,2.7663861917641706,12.7208480565371,0.04440629964365679,0.17853377126281741,0.17603494742564016,0.5478260869565212,0.11145187734072998,0.005079659719362135,0.19617734991778477
5,4.201744260243977,-0.10410934305665168,-0.12720068669096898,0.4363636363636303,-0.9098394719250344,-15.306255713726003,-0.08861957650110751,0.002222222276031971,0.006666666828095913,42.8,2.481934729198171,4.048582995951417,0.008888699585878415,0.10633156533268365,0.1338673535190649,42.36363636363637,3.3917742011232055,19.35483870967742,0.09750827608698592,0.977703498340454,1.0,0.12173913043478048,0.49705493604119005,0.7920399008252351,0.8132067946023176
6,1.1882579213606181,-0.029521775465797297,-0.05546387833406417,0.8181818181818201,0.2437833191281915,-5.645412939463284,-0.02819924896301755,0.04129190053790808,0.07643168130545246,43.0,3.0983866769659336,9.486166007905137,0.04092011150018664,0.07081367600370538,0.13189555963951663,42.18181818181818,2.854603357837742,15.131578947368421,0.06911936046320419,0.2701247940525653,0.03134034167178694,0.2434782608695655,0.13084640272587478,0.2849961104084607,0.22747201163236502
7,2.797454641857052,-0.06790315071967515,-0.10054525991460533,-0.518181818181823,0.14997114169355497,-12.315373957598098,-0.07291816737523862,0.021187370643019676,0.03920246381117845,42.3,3.0675723300355937,5.691056910569105,0.015368878083713946,0.08909052136269482,0.13974772372578378,42.81818181818182,2.9176011883420387,18.006430868167204,0.08828704545895256,0.6342316371647961,0.6400726881334708,0.14782608695652305,0.07926693789968152,0.635065187774778,0.6609921039278026
8,1.7729626806447638,-0.026201023313809524,-0.09810244523261728,1.2000000000000028,0.03646877360547096,-3.015988372093023,-0.04580848130703237,0.04303134214133024,0.04628500482576238,43.2,2.9597297173897483,10.9375,0.03202858797418395,0.06923236545513976,0.14438745005837966,42.0,2.9232609437842774,13.953488372093023,0.07783706928121632,0.23862231205913403,0.6070874454190042,0.3652173913043482,0.016861485190005264,0.14699227053578953,0.39818177613648265
9,2.7372550543742706,0.04127862439914183,0.10169143457694205,1.009090909090908,-0.9428410515250696,4.28467965132821,0.07352990624676503,0.07837782427668571,0.14869849076926275,43.1,2.4269322199023193,14.82889733840304,0.096603463760949,0.037099199877543884,0.047007056192320706,42.09090909090909,3.369773271427389,10.54421768707483,0.023073557514183975,0.3816567316590733,0.6555494452158295,0.3043478260869557,0.5151997426189378,0.2135788044566056,0.6669225043368688
10,2.72743807134435,0.058445644073865634,0.09740636910557612,0.4363636363636303,0.7027280488713026,7.946481562717725,0.07431670426491775,0.08737007267773152,0.14532488663114812,42.8,3.340658617698013,16.433566433566433,0.09525950080242712,0.028924428603865883,0.047918517525572,42.36363636363637,2.6379305688267105,8.487084870848708,0.02094279653750937,0.5445125255972467,0.5976883533931151,0.12173913043478048,0.3831816985508233,0.405766376937623,0.6745499864307609
